"SYMBOL","PathwayID"
"C3","hsa05171"
"C5","hsa05171"
"C5AR1","hsa05171"
"C6","hsa05171"
"C8A","hsa05171"
"C8B","hsa05171"
"C8G","hsa05171"
"C9","hsa05171"
"CASP1","hsa05171"
"CCL2","hsa05171"
"CSF2","hsa05171"
"CSF3","hsa05171"
"CXCL10","hsa05171"
"CXCL8","hsa05171"
"EGFR","hsa05171"
"F2","hsa05171"
"FAU","hsa05171"
"FCGR2A","hsa05171"
"FGA","hsa05171"
"FGB","hsa05171"
"FGG","hsa05171"
"FOS","hsa05171"
"IKBKB","hsa05171"
"IKBKE","hsa05171"
"IKBKG","hsa05171"
"IL12B","hsa05171"
"IL1B","hsa05171"
"IL2","hsa05171"
"IL6","hsa05171"
"IL6ST","hsa05171"
"ISG15","hsa05171"
"JAK1","hsa05171"
"JUN","hsa05171"
"MAPK1","hsa05171"
"MX1","hsa05171"
"MYD88","hsa05171"
"OAS1","hsa05171"
"OAS2","hsa05171"
"OAS3","hsa05171"
"RELA","hsa05171"
"RPL10","hsa05171"
"RPL10A","hsa05171"
"RPL10L","hsa05171"
"RPL11","hsa05171"
"RPL12","hsa05171"
"RPL13","hsa05171"
"RPL13A","hsa05171"
"RPL14","hsa05171"
"RPL15","hsa05171"
"RPL17","hsa05171"
"RPL18","hsa05171"
"RPL18A","hsa05171"
"RPL19","hsa05171"
"RPL21","hsa05171"
"RPL22","hsa05171"
"RPL23","hsa05171"
"RPL23A","hsa05171"
"RPL24","hsa05171"
"RPL26","hsa05171"
"RPL26L1","hsa05171"
"RPL27","hsa05171"
"RPL27A","hsa05171"
"RPL28","hsa05171"
"RPL29","hsa05171"
"RPL3","hsa05171"
"RPL30","hsa05171"
"RPL31","hsa05171"
"RPL32","hsa05171"
"RPL34","hsa05171"
"RPL35","hsa05171"
"RPL35A","hsa05171"
"RPL36","hsa05171"
"RPL36A","hsa05171"
"RPL37","hsa05171"
"RPL37A","hsa05171"
"RPL38","hsa05171"
"RPL39","hsa05171"
"RPL4","hsa05171"
"RPL5","hsa05171"
"RPL6","hsa05171"
"RPL7","hsa05171"
"RPL7A","hsa05171"
"RPL8","hsa05171"
"RPL9","hsa05171"
"RPLP0","hsa05171"
"RPLP1","hsa05171"
"RPLP2","hsa05171"
"RPS10","hsa05171"
"RPS10-NUDT3","hsa05171"
"RPS11","hsa05171"
"RPS12","hsa05171"
"RPS13","hsa05171"
"RPS14","hsa05171"
"RPS15","hsa05171"
"RPS15A","hsa05171"
"RPS16","hsa05171"
"RPS17","hsa05171"
"RPS18","hsa05171"
"RPS19","hsa05171"
"RPS2","hsa05171"
"RPS20","hsa05171"
"RPS21","hsa05171"
"RPS23","hsa05171"
"RPS24","hsa05171"
"RPS25","hsa05171"
"RPS26","hsa05171"
"RPS27","hsa05171"
"RPS27A","hsa05171"
"RPS27L","hsa05171"
"RPS28","hsa05171"
"RPS29","hsa05171"
"RPS3","hsa05171"
"RPS3A","hsa05171"
"RPS4X","hsa05171"
"RPS5","hsa05171"
"RPS6","hsa05171"
"RPS7","hsa05171"
"RPS8","hsa05171"
"RPS9","hsa05171"
"RPSA","hsa05171"
"RSL24D1","hsa05171"
"STAT1","hsa05171"
"STAT3","hsa05171"
"SYK","hsa05171"
"TBK1","hsa05171"
"TLR4","hsa05171"
"TMPRSS2","hsa05171"
"TNF","hsa05171"
"TRAF3","hsa05171"
"TRAF6","hsa05171"
"TYK2","hsa05171"
"UBA52","hsa05171"
"VWF","hsa05171"
"ADRM1","hsa03050"
"PSMA1","hsa03050"
"PSMA2","hsa03050"
"PSMA3","hsa03050"
"PSMA4","hsa03050"
"PSMA5","hsa03050"
"PSMA6","hsa03050"
"PSMA7","hsa03050"
"PSMA8","hsa03050"
"PSMB1","hsa03050"
"PSMB10","hsa03050"
"PSMB11","hsa03050"
"PSMB2","hsa03050"
"PSMB3","hsa03050"
"PSMB4","hsa03050"
"PSMB5","hsa03050"
"PSMB6","hsa03050"
"PSMB7","hsa03050"
"PSMB8","hsa03050"
"PSMB9","hsa03050"
"PSMC1","hsa03050"
"PSMC2","hsa03050"
"PSMC3","hsa03050"
"PSMC4","hsa03050"
"PSMC5","hsa03050"
"PSMC6","hsa03050"
"PSMD1","hsa03050"
"PSMD11","hsa03050"
"PSMD12","hsa03050"
"PSMD13","hsa03050"
"PSMD14","hsa03050"
"PSMD2","hsa03050"
"PSMD3","hsa03050"
"PSMD4","hsa03050"
"PSMD6","hsa03050"
"PSMD7","hsa03050"
"PSMD8","hsa03050"
"ADRM1","hsa05169"
"AKT1","hsa05169"
"APAF1","hsa05169"
"B2M","hsa05169"
"BAK1","hsa05169"
"BAX","hsa05169"
"BCL2L11","hsa05169"
"BID","hsa05169"
"CALR","hsa05169"
"CASP8","hsa05169"
"CCNA2","hsa05169"
"CCND1","hsa05169"
"CCNE1","hsa05169"
"CD247","hsa05169"
"CD3D","hsa05169"
"CD44","hsa05169"
"CDK2","hsa05169"
"CDK4","hsa05169"
"CDK6","hsa05169"
"CDKN1A","hsa05169"
"CXCL10","hsa05169"
"CYCS","hsa05169"
"FADD","hsa05169"
"HDAC1","hsa05169"
"HLA-A","hsa05169"
"HLA-DRB1","hsa05169"
"HLA-E","hsa05169"
"HLA-F","hsa05169"
"HLA-G","hsa05169"
"ICAM1","hsa05169"
"IKBKB","hsa05169"
"IKBKE","hsa05169"
"IKBKG","hsa05169"
"IL6","hsa05169"
"IRF7","hsa05169"
"ISG15","hsa05169"
"JAK1","hsa05169"
"JAK3","hsa05169"
"JUN","hsa05169"
"LYN","hsa05169"
"MDM2","hsa05169"
"MYC","hsa05169"
"MYD88","hsa05169"
"NCOR2","hsa05169"
"NEDD4","hsa05169"
"OAS1","hsa05169"
"OAS2","hsa05169"
"OAS3","hsa05169"
"PDIA3","hsa05169"
"PSMC1","hsa05169"
"PSMC2","hsa05169"
"PSMC3","hsa05169"
"PSMC4","hsa05169"
"PSMC5","hsa05169"
"PSMC6","hsa05169"
"PSMD1","hsa05169"
"PSMD11","hsa05169"
"PSMD12","hsa05169"
"PSMD13","hsa05169"
"PSMD14","hsa05169"
"PSMD2","hsa05169"
"PSMD3","hsa05169"
"PSMD4","hsa05169"
"PSMD6","hsa05169"
"PSMD7","hsa05169"
"PSMD8","hsa05169"
"RBPJ","hsa05169"
"RELA","hsa05169"
"RUNX3","hsa05169"
"SIN3A","hsa05169"
"SNW1","hsa05169"
"STAT1","hsa05169"
"STAT3","hsa05169"
"SYK","hsa05169"
"TBK1","hsa05169"
"TNF","hsa05169"
"TP53","hsa05169"
"TRADD","hsa05169"
"TRAF2","hsa05169"
"TRAF3","hsa05169"
"TRAF6","hsa05169"
"TYK2","hsa05169"
"VIM","hsa05169"
"CD247","hsa04659"
"CD3D","hsa04659"
"CD4","hsa04659"
"FOS","hsa04659"
"FOXP3","hsa04659"
"GATA3","hsa04659"
"HIF1A","hsa04659"
"HLA-DRB1","hsa04659"
"HSP90AA1","hsa04659"
"IKBKB","hsa04659"
"IKBKG","hsa04659"
"IL12RB1","hsa04659"
"IL17A","hsa04659"
"IL17F","hsa04659"
"IL1B","hsa04659"
"IL1R1","hsa04659"
"IL1RAP","hsa04659"
"IL2","hsa04659"
"IL23A","hsa04659"
"IL23R","hsa04659"
"IL2RB","hsa04659"
