"SYMBOL","PathwayID"
"ABL1","hsa04110"
"ANAPC1","hsa04110"
"ANAPC10","hsa04110"
"ANAPC11","hsa04110"
"ANAPC13","hsa04110"
"ANAPC15","hsa04110"
"ANAPC16","hsa04110"
"ANAPC2","hsa04110"
"ANAPC4","hsa04110"
"ANAPC5","hsa04110"
"ANAPC7","hsa04110"
"ATM","hsa04110"
"ATR","hsa04110"
"ATRX","hsa04110"
"AURKB","hsa04110"
"BUB1","hsa04110"
"BUB1B","hsa04110"
"BUB3","hsa04110"
"CCNA1","hsa04110"
"CCNA2","hsa04110"
"CCNB1","hsa04110"
"CCNB2","hsa04110"
"CCNB3","hsa04110"
"CCND1","hsa04110"
"CCND2","hsa04110"
"CCND3","hsa04110"
"CCNE1","hsa04110"
"CCNE2","hsa04110"
"CDC16","hsa04110"
"CDC20","hsa04110"
"CDC23","hsa04110"
"CDC25A","hsa04110"
"CDC25B","hsa04110"
"CDC25C","hsa04110"
"CDC26","hsa04110"
"CDC27","hsa04110"
"CDC45","hsa04110"
"CDC6","hsa04110"
"CDC7","hsa04110"
"CDCA5","hsa04110"
"CDK1","hsa04110"
"CDK2","hsa04110"
"CDK4","hsa04110"
"CDK6","hsa04110"
"CDK7","hsa04110"
"CDKN1A","hsa04110"
"CDKN1B","hsa04110"
"CDKN1C","hsa04110"
"CDKN2A","hsa04110"
"CDT1","hsa04110"
"CHEK1","hsa04110"
"CHEK2","hsa04110"
"CREBBP","hsa04110"
"CUL1","hsa04110"
"DBF4","hsa04110"
"DBF4B","hsa04110"
"E2F1","hsa04110"
"E2F2","hsa04110"
"E2F3","hsa04110"
"E2F4","hsa04110"
"EP300","hsa04110"
"ESPL1","hsa04110"
"FBXO5","hsa04110"
"FZR1","hsa04110"
"GADD45A","hsa04110"
"GSK3B","hsa04110"
"HDAC1","hsa04110"
"HDAC2","hsa04110"
"MAD1L1","hsa04110"
"MAD2L1","hsa04110"
"MAD2L1BP","hsa04110"
"MCM2","hsa04110"
"MCM3","hsa04110"
"MCM4","hsa04110"
