"SYMBOL","PathwayID"
"ACTR10","hsa05016"
"ACTR1A","hsa05016"
"ACTR1B","hsa05016"
"ADRM1","hsa05016"
"AP2A1","hsa05016"
"AP2A2","hsa05016"
"AP2B1","hsa05016"
"AP2M1","hsa05016"
"AP2S1","hsa05016"
"ATG101","hsa05016"
"ATG13","hsa05016"
"ATG14","hsa05016"
"BECN1","hsa05016"
"CASP8","hsa05016"
"CLTC","hsa05016"
"COX4I1","hsa05016"
"COX5A","hsa05016"
"COX5B","hsa05016"
"COX6A1","hsa05016"
"COX6A2","hsa05016"
"COX6B1","hsa05016"
"COX6C","hsa05016"
"COX7B","hsa05016"
"COX7C","hsa05016"
"COX8A","hsa05016"
"CREB1","hsa05016"
"CREBBP","hsa05016"
"CYC1","hsa05016"
"CYCS","hsa05016"
"DCTN1","hsa05016"
"DCTN2","hsa05016"
"DCTN3","hsa05016"
"DCTN4","hsa05016"
"DCTN5","hsa05016"
"DCTN6","hsa05016"
"DLG4","hsa05016"
"DNAH8","hsa05016"
"EP300","hsa05016"
"GNAQ","hsa05016"
"GRM5","hsa05016"
"HAP1","hsa05016"
"HDAC1","hsa05016"
"MTOR","hsa05016"
"NDUFA11","hsa05016"
"NDUFA12","hsa05016"
"NDUFA13","hsa05016"
"NDUFA2","hsa05016"
"NDUFA4","hsa05016"
"NDUFA5","hsa05016"
"NDUFA6","hsa05016"
"NDUFA8","hsa05016"
"NDUFA9","hsa05016"
"NDUFAB1","hsa05016"
"NDUFB10","hsa05016"
"NDUFB5","hsa05016"
"NDUFB7","hsa05016"
"NDUFB8","hsa05016"
"NDUFB9","hsa05016"
"NDUFS1","hsa05016"
"NDUFS2","hsa05016"
"NDUFS3","hsa05016"
"NDUFS4","hsa05016"
"NDUFS5","hsa05016"
"NDUFS7","hsa05016"
"NDUFV1","hsa05016"
"NDUFV2","hsa05016"
"PIK3C3","hsa05016"
"PIK3R4","hsa05016"
"PLCB1","hsa05016"
"PLCB2","hsa05016"
"PLCB3","hsa05016"
"POLR2A","hsa05016"
"POLR2C","hsa05016"
"POLR2D","hsa05016"
"POLR2E","hsa05016"
"POLR2F","hsa05016"
"POLR2G","hsa05016"
"POLR2H","hsa05016"
"POLR2I","hsa05016"
"POLR2J","hsa05016"
"POLR2K","hsa05016"
"POLR2L","hsa05016"
"PPARG","hsa05016"
"PSMA1","hsa05016"
"PSMA2","hsa05016"
"PSMA3","hsa05016"
"PSMA4","hsa05016"
"PSMA5","hsa05016"
"PSMA6","hsa05016"
"PSMA7","hsa05016"
"PSMA8","hsa05016"
"PSMB1","hsa05016"
"PSMB2","hsa05016"
"PSMB3","hsa05016"
"PSMB4","hsa05016"
"PSMB5","hsa05016"
"PSMB6","hsa05016"
"PSMB7","hsa05016"
"PSMC1","hsa05016"
"PSMC2","hsa05016"
"PSMC3","hsa05016"
"PSMC4","hsa05016"
"PSMC5","hsa05016"
"PSMC6","hsa05016"
"PSMD1","hsa05016"
"PSMD11","hsa05016"
"PSMD12","hsa05016"
"PSMD13","hsa05016"
"PSMD14","hsa05016"
"PSMD2","hsa05016"
"PSMD3","hsa05016"
"PSMD4","hsa05016"
"PSMD6","hsa05016"
"PSMD7","hsa05016"
"PSMD8","hsa05016"
"PSMD9","hsa05016"
"RB1CC1","hsa05016"
"SP1","hsa05016"
"TP53","hsa05016"
"ULK1","hsa05016"
"ULK2","hsa05016"
"UQCR10","hsa05016"
"UQCR11","hsa05016"
"UQCRB","hsa05016"
"UQCRC1","hsa05016"
"UQCRC2","hsa05016"
"UQCRFS1","hsa05016"
"UQCRH","hsa05016"
"UQCRHL","hsa05016"
"UQCRQ","hsa05016"
"ANAPC1","hsa04110"
"ANAPC10","hsa04110"
"ANAPC11","hsa04110"
"ANAPC13","hsa04110"
"ANAPC15","hsa04110"
"ANAPC16","hsa04110"
"ANAPC2","hsa04110"
"ANAPC4","hsa04110"
"ANAPC5","hsa04110"
