"SYMBOL","PathwayID"
"ADRM1","hsa05020"
"APAF1","hsa05020"
"CACNA1C","hsa05020"
"CASP3","hsa05020"
"CASP9","hsa05020"
"CAV1","hsa05020"
"COX4I1","hsa05020"
"COX5A","hsa05020"
"COX5B","hsa05020"
"COX6A1","hsa05020"
"COX6A2","hsa05020"
"COX6B1","hsa05020"
"COX6C","hsa05020"
"COX7A2","hsa05020"
"COX7B","hsa05020"
"COX7C","hsa05020"
"COX8A","hsa05020"
"CSNK2A2","hsa05020"
"CSNK2B","hsa05020"
"CYC1","hsa05020"
"CYCS","hsa05020"
"FYN","hsa05020"
"GRIN2A","hsa05020"
"GRIN2B","hsa05020"
"GSK3B","hsa05020"
"HSPA8","hsa05020"
"ITPR1","hsa05020"
"ITPR3","hsa05020"
"MCU","hsa05020"
"NCF1","hsa05020"
"NDUFA1","hsa05020"
"NDUFA10","hsa05020"
"NDUFA11","hsa05020"
"NDUFA12","hsa05020"
"NDUFA13","hsa05020"
"NDUFA2","hsa05020"
"NDUFA3","hsa05020"
"NDUFA4","hsa05020"
"NDUFA5","hsa05020"
"NDUFA6","hsa05020"
"NDUFA7","hsa05020"
"NDUFA8","hsa05020"
"NDUFA9","hsa05020"
"NDUFAB1","hsa05020"
"NDUFB1","hsa05020"
"NDUFB10","hsa05020"
"NDUFB11","hsa05020"
"NDUFB2","hsa05020"
"NDUFB3","hsa05020"
"NDUFB4","hsa05020"
"NDUFB5","hsa05020"
"NDUFB6","hsa05020"
"NDUFB7","hsa05020"
"NDUFB8","hsa05020"
"NDUFB9","hsa05020"
"NDUFC1","hsa05020"
"NDUFC2","hsa05020"
"NDUFS1","hsa05020"
"NDUFS2","hsa05020"
"NDUFS3","hsa05020"
"NDUFS4","hsa05020"
"NDUFS5","hsa05020"
"NDUFS6","hsa05020"
"NDUFS7","hsa05020"
"NDUFS8","hsa05020"
"NDUFV1","hsa05020"
"NDUFV2","hsa05020"
"PIK3CB","hsa05020"
"PIK3R1","hsa05020"
"PPP3CB","hsa05020"
"PPP3R1","hsa05020"
"PSMA1","hsa05020"
"PSMA2","hsa05020"
"PSMA3","hsa05020"
"PSMA4","hsa05020"
"PSMA5","hsa05020"
"PSMA6","hsa05020"
"PSMA7","hsa05020"
"PSMA8","hsa05020"
"PSMB1","hsa05020"
"PSMB2","hsa05020"
"PSMB3","hsa05020"
"PSMB4","hsa05020"
"PSMB5","hsa05020"
"PSMB6","hsa05020"
"PSMB7","hsa05020"
"PSMC1","hsa05020"
"PSMC2","hsa05020"
"PSMC3","hsa05020"
"PSMC4","hsa05020"
"PSMC5","hsa05020"
"PSMC6","hsa05020"
"PSMD1","hsa05020"
"PSMD11","hsa05020"
"PSMD12","hsa05020"
"PSMD13","hsa05020"
"PSMD14","hsa05020"
"PSMD2","hsa05020"
"PSMD3","hsa05020"
"PSMD4","hsa05020"
"PSMD6","hsa05020"
"PSMD7","hsa05020"
"PSMD8","hsa05020"
"PSMD9","hsa05020"
"SDHA","hsa05020"
"SDHB","hsa05020"
"SDHC","hsa05020"
"STIP1","hsa05020"
"UQCR10","hsa05020"
"UQCR11","hsa05020"
"UQCRB","hsa05020"
"UQCRC1","hsa05020"
"UQCRC2","hsa05020"
"UQCRFS1","hsa05020"
"UQCRH","hsa05020"
"UQCRHL","hsa05020"
"UQCRQ","hsa05020"
"ACTR10","hsa05016"
"ACTR1A","hsa05016"
"ACTR1B","hsa05016"
"ADRM1","hsa05016"
"APAF1","hsa05016"
"BDNF","hsa05016"
"CASP3","hsa05016"
"CASP9","hsa05016"
"CLTC","hsa05016"
"COX4I1","hsa05016"
"COX5A","hsa05016"
"COX5B","hsa05016"
"COX6A1","hsa05016"
"COX6A2","hsa05016"
"COX6B1","hsa05016"
"COX6C","hsa05016"
"COX7A2","hsa05016"
"COX7B","hsa05016"
"COX7C","hsa05016"
"COX8A","hsa05016"
"CREBBP","hsa05016"
"CYC1","hsa05016"
"CYCS","hsa05016"
"DCTN2","hsa05016"
"DCTN4","hsa05016"
"DCTN5","hsa05016"
"DCTN6","hsa05016"
"DLG4","hsa05016"
"EP300","hsa05016"
"GNAQ","hsa05016"
"GRIN2B","hsa05016"
"HDAC1","hsa05016"
"HDAC2","hsa05016"
"ITPR1","hsa05016"
"NDUFA1","hsa05016"
"NDUFA10","hsa05016"
"NDUFA11","hsa05016"
"NDUFA12","hsa05016"
"NDUFA13","hsa05016"
"NDUFA2","hsa05016"
"NDUFA3","hsa05016"
"NDUFA4","hsa05016"
"NDUFA5","hsa05016"
"NDUFA6","hsa05016"
"NDUFA7","hsa05016"
"NDUFA8","hsa05016"
"NDUFA9","hsa05016"
"NDUFAB1","hsa05016"
"NDUFB1","hsa05016"
"NDUFB10","hsa05016"
"NDUFB11","hsa05016"
"NDUFB2","hsa05016"
"NDUFB3","hsa05016"
"NDUFB4","hsa05016"
"NDUFB5","hsa05016"
