"SYMBOL","PathwayID"
"C1QA","hsa05171"
"C1R","hsa05171"
"C1S","hsa05171"
"C3","hsa05171"
"C4A","hsa05171"
"C4B","hsa05171"
"CCL2","hsa05171"
"CSF2","hsa05171"
"CSF3","hsa05171"
"CXCL10","hsa05171"
"CXCL8","hsa05171"
"EGFR","hsa05171"
"FAU","hsa05171"
"FOS","hsa05171"
"IKBKG","hsa05171"
"IL1B","hsa05171"
"IL2","hsa05171"
"IL6","hsa05171"
"IL6R","hsa05171"
"IL6ST","hsa05171"
"JAK1","hsa05171"
"JUN","hsa05171"
"MASP2","hsa05171"
"RPL10","hsa05171"
"RPL10A","hsa05171"
"RPL10L","hsa05171"
"RPL11","hsa05171"
"RPL12","hsa05171"
"RPL13","hsa05171"
"RPL13A","hsa05171"
"RPL14","hsa05171"
"RPL15","hsa05171"
"RPL17","hsa05171"
"RPL17-C18orf32","hsa05171"
"RPL18","hsa05171"
"RPL18A","hsa05171"
"RPL19","hsa05171"
"RPL21","hsa05171"
"RPL22","hsa05171"
"RPL23","hsa05171"
"RPL23A","hsa05171"
"RPL24","hsa05171"
"RPL26","hsa05171"
"RPL26L1","hsa05171"
"RPL27","hsa05171"
"RPL27A","hsa05171"
"RPL28","hsa05171"
"RPL29","hsa05171"
"RPL3","hsa05171"
"RPL30","hsa05171"
"RPL31","hsa05171"
"RPL32","hsa05171"
"RPL34","hsa05171"
"RPL35","hsa05171"
"RPL35A","hsa05171"
"RPL36","hsa05171"
"RPL36A","hsa05171"
"RPL37","hsa05171"
"RPL37A","hsa05171"
"RPL38","hsa05171"
"RPL39","hsa05171"
"RPL4","hsa05171"
"RPL5","hsa05171"
"RPL6","hsa05171"
"RPL7","hsa05171"
"RPL7A","hsa05171"
"RPL8","hsa05171"
"RPL9","hsa05171"
"RPLP0","hsa05171"
"RPLP1","hsa05171"
"RPLP2","hsa05171"
"RPS10","hsa05171"
"RPS10-NUDT3","hsa05171"
"RPS11","hsa05171"
"RPS12","hsa05171"
"RPS13","hsa05171"
"RPS14","hsa05171"
"RPS15","hsa05171"
"RPS15A","hsa05171"
"RPS16","hsa05171"
"RPS17","hsa05171"
"RPS18","hsa05171"
"RPS19","hsa05171"
"RPS2","hsa05171"
"RPS20","hsa05171"
"RPS21","hsa05171"
"RPS23","hsa05171"
"RPS24","hsa05171"
"RPS25","hsa05171"
"RPS26","hsa05171"
"RPS27","hsa05171"
"RPS27A","hsa05171"
"RPS27L","hsa05171"
"RPS28","hsa05171"
"RPS29","hsa05171"
"RPS3","hsa05171"
"RPS3A","hsa05171"
"RPS4X","hsa05171"
"RPS5","hsa05171"
"RPS6","hsa05171"
"RPS7","hsa05171"
"RPS8","hsa05171"
"RPS9","hsa05171"
"RPSA","hsa05171"
"RSL24D1","hsa05171"
"SELP","hsa05171"
"STAT3","hsa05171"
"TNF","hsa05171"
"TRAF6","hsa05171"
"UBA52","hsa05171"
"ABL1","hsa04110"
"ANAPC1","hsa04110"
"ANAPC10","hsa04110"
"ANAPC11","hsa04110"
"ANAPC13","hsa04110"
"ANAPC16","hsa04110"
"ANAPC2","hsa04110"
"ANAPC4","hsa04110"
"ANAPC5","hsa04110"
"ANAPC7","hsa04110"
"ATM","hsa04110"
"AURKB","hsa04110"
"BUB1","hsa04110"
"BUB1B","hsa04110"
"BUB3","hsa04110"
"CCNA1","hsa04110"
"CCNA2","hsa04110"
"CCNB1","hsa04110"
"CCNB2","hsa04110"
"CCNB3","hsa04110"
"CCND1","hsa04110"
"CCND3","hsa04110"
"CCNE1","hsa04110"
"CCNE2","hsa04110"
"CCNH","hsa04110"
"CDC16","hsa04110"
"CDC20","hsa04110"
"CDC23","hsa04110"
"CDC25A","hsa04110"
"CDC25B","hsa04110"
"CDC25C","hsa04110"
"CDC26","hsa04110"
"CDC27","hsa04110"
"CDC6","hsa04110"
"CDCA5","hsa04110"
"CDK1","hsa04110"
"CDK2","hsa04110"
"CDK4","hsa04110"
"CDK6","hsa04110"
"CDK7","hsa04110"
"CDKN1A","hsa04110"
"CDKN2D","hsa04110"
"CDT1","hsa04110"
"E2F4","hsa04110"
"EP300","hsa04110"
"ESPL1","hsa04110"
"FBXO5","hsa04110"
"FZR1","hsa04110"
"GADD45A","hsa04110"
"HDAC1","hsa04110"
"MAD2L1","hsa04110"
"NDC80","hsa04110"
"PCNA","hsa04110"
"PKMYT1","hsa04110"
"PLK1","hsa04110"
"PTTG1","hsa04110"
"RB1","hsa04110"
"SMAD2","hsa04110"
"SMAD3","hsa04110"
"SMAD4","hsa04110"
"SMC1A","hsa04110"
"TGFB1","hsa04110"
"TP53","hsa04110"
"TRIP13","hsa04110"
"TTK","hsa04110"
"WEE1","hsa04110"
"AKT1","hsa05166"
"ANAPC1","hsa05166"
"ANAPC10","hsa05166"
"ANAPC11","hsa05166"
"ANAPC13","hsa05166"
"ANAPC16","hsa05166"
"ANAPC2","hsa05166"
"ANAPC4","hsa05166"
"ANAPC5","hsa05166"
"ANAPC7","hsa05166"
"ATM","hsa05166"
"B2M","hsa05166"
"BUB1B","hsa05166"
"BUB3","hsa05166"
"CALR","hsa05166"
"CANX","hsa05166"
"CCNA1","hsa05166"
"CCNA2","hsa05166"
"CCNB2","hsa05166"
"CCND1","hsa05166"
"CCND3","hsa05166"
"CCNE1","hsa05166"
"CCNE2","hsa05166"
"CD3D","hsa05166"
"CD3E","hsa05166"
"CD3G","hsa05166"
"CD4","hsa05166"
"CDC16","hsa05166"
"CDC20","hsa05166"
"CDC23","hsa05166"
"CDC26","hsa05166"
"CDC27","hsa05166"
"CDK2","hsa05166"
"CDK4","hsa05166"
"CDKN1A","hsa05166"
"CREB1","hsa05166"
"CRTC3","hsa05166"
"CSF2","hsa05166"
"EP300","hsa05166"
"ESPL1","hsa05166"
"FOS","hsa05166"
"HLA-A","hsa05166"
"HLA-B","hsa05166"
"HLA-C","hsa05166"
"HLA-DMA","hsa05166"
"HLA-DRA","hsa05166"
"HLA-DRB1","hsa05166"
"IKBKG","hsa05166"
"IL15","hsa05166"
"IL2","hsa05166"
"IL2RA","hsa05166"
"IL2RB","hsa05166"
"IL2RG","hsa05166"
"IL6","hsa05166"
"JAK1","hsa05166"
"JAK3","hsa05166"
"JUN","hsa05166"
"KAT5","hsa05166"
"LCK","hsa05166"
"MAD2L1","hsa05166"
"PTTG1","hsa05166"
"RAN","hsa05166"
"RANBP1","hsa05166"
"RB1","hsa05166"
"SMAD2","hsa05166"
"SMAD3","hsa05166"
"SMAD4","hsa05166"
"SPI1","hsa05166"
"TERT","hsa05166"
"TGFB1","hsa05166"
"TNF","hsa05166"
"TP53","hsa05166"
"TRRAP","hsa05166"
"XPO1","hsa05166"
"AKT1","hsa04932"
"CASP8","hsa04932"
"CDC42","hsa04932"
"CEBPA","hsa04932"
"CXCL8","hsa04932"
"CYC1","hsa04932"
"EIF2S1","hsa04932"
"FOS","hsa04932"
"IL1A","hsa04932"
"IL1B","hsa04932"
"IL6","hsa04932"
"IL6R","hsa04932"
"JUN","hsa04932"
"NDUFA1","hsa04932"
"NDUFA10","hsa04932"
"NDUFA11","hsa04932"
"NDUFA12","hsa04932"
"NDUFA13","hsa04932"
"NDUFA2","hsa04932"
"NDUFA3","hsa04932"
"NDUFA5","hsa04932"
"NDUFA6","hsa04932"
"NDUFA7","hsa04932"
"NDUFA8","hsa04932"
"NDUFA9","hsa04932"
"NDUFAB1","hsa04932"
"NDUFB1","hsa04932"
"NDUFB10","hsa04932"
"NDUFB11","hsa04932"
"NDUFB2","hsa04932"
"NDUFB3","hsa04932"
"NDUFB4","hsa04932"
"NDUFB5","hsa04932"
"NDUFB6","hsa04932"
"NDUFB7","hsa04932"
"NDUFB8","hsa04932"
"NDUFB9","hsa04932"
"NDUFC1","hsa04932"
"NDUFC2","hsa04932"
"NDUFS1","hsa04932"
"NDUFS2","hsa04932"
"NDUFS3","hsa04932"
"NDUFS4","hsa04932"
"NDUFS5","hsa04932"
"NDUFS6","hsa04932"
"NDUFS7","hsa04932"
"NDUFS8","hsa04932"
"NDUFV1","hsa04932"
"NDUFV2","hsa04932"
"NDUFV3","hsa04932"
"PKLR","hsa04932"
"PPARA","hsa04932"
"PPARG","hsa04932"
"RAC1","hsa04932"
"SDHB","hsa04932"
"TGFB1","hsa04932"
"TNF","hsa04932"
"UQCRC1","hsa04932"
"UQCRC2","hsa04932"
"UQCRFS1","hsa04932"
"ATP6V1A","hsa00190"
"ATP6V1B1","hsa00190"
"ATP6V1B2","hsa00190"
"ATP6V1C2","hsa00190"
"ATP6V1D","hsa00190"
"ATP6V1E1","hsa00190"
"ATP6V1E2","hsa00190"
"ATP6V1F","hsa00190"
"ATP6V1G1","hsa00190"
"ATP6V1G2","hsa00190"
"ATP6V1H","hsa00190"
"CYC1","hsa00190"
"NDUFA1","hsa00190"
"NDUFA10","hsa00190"
"NDUFA11","hsa00190"
"NDUFA12","hsa00190"
"NDUFA13","hsa00190"
"NDUFA2","hsa00190"
"NDUFA3","hsa00190"
"NDUFA5","hsa00190"
"NDUFA6","hsa00190"
