"SYMBOL","PathwayID"
"PIK3CD","hsa05171"
"OAS1","hsa05171"
"RPL6","hsa05171"
"MAPK14","hsa05171"
"RPL36A","hsa05171"
"MAP3K7","hsa05171"
"C5","hsa05171"
"RPL27","hsa05171"
"RPL13","hsa05171"
"MAPK1","hsa05171"
"RPLP1","hsa05171"
"RPS8","hsa05171"
"TNFRSF1A","hsa05171"
"RPL22","hsa05171"
"RPS17","hsa05171"
"RPL3L","hsa05171"
"UBA52","hsa05171"
"MAVS","hsa05171"
"JUN","hsa05171"
"TLR4","hsa05171"
"RPS16","hsa05171"
"CHUK","hsa05171"
"RPS19","hsa05171"
"IKBKG","hsa05171"
"RPL10","hsa05171"
"RPS11","hsa05171"
"RPL18","hsa05171"
"RPSA","hsa05171"
"FOS","hsa05171"
"C9","hsa05171"
"RPL12","hsa05171"
"NFKB1","hsa05171"
"C8G","hsa05171"
"RPS27L","hsa05171"
"FGG","hsa05171"
"CFB","hsa05171"
"IRAK1","hsa05171"
"RPS24","hsa05171"
"RPS27A","hsa05171"
"PLCG1","hsa05171"
"C7","hsa05171"
"RPL10L","hsa05171"
"MYD88","hsa05171"
"FGB","hsa05171"
"RPS4X","hsa05171"
"RPL29","hsa05171"
"RPLP2","hsa05171"
"STAT2","hsa05171"
"RPS15","hsa05171"
"RPS23","hsa05171"
"STAT3","hsa05171"
"RPS26","hsa05171"
"IL6","hsa05171"
"RPS25","hsa05171"
"C8A","hsa05171"
"RPS9","hsa05171"
"AGTR1","hsa05171"
"RPL11","hsa05171"
"ACE2","hsa05171"
"C8B","hsa05171"
"CXCL10","hsa05171"
"SYK","hsa05171"
"RPL19","hsa05171"
"RPS12","hsa05171"
"CFD","hsa05171"
"IRF3","hsa05171"
"RPS27","hsa05171"
"RPL7","hsa05171"
"RPL36","hsa05171"
"PIK3R2","hsa05171"
"RPL21","hsa05171"
"RPL17","hsa05171"
"EGFR","hsa05171"
"RPL35","hsa05171"
"RPL36AL","hsa05171"
"RPL15","hsa05171"
"RPL23A","hsa05171"
"TNF","hsa05171"
"RPL18A","hsa05171"
"RPS28","hsa05171"
"RPS13","hsa05171"
"RPS2","hsa05171"
"C6","hsa05171"
"MX1","hsa05171"
"RPL31","hsa05171"
"RPL39","hsa05171"
"RPL30","hsa05171"
"PIK3CA","hsa05171"
"RPS3A","hsa05171"
"RPL7A","hsa05171"
"NRP1","hsa05171"
"IL1B","hsa05171"
"RPS7","hsa05171"
"RPL13A","hsa05171"
"NFKBIB","hsa05171"
"RPS3","hsa05171"
"OAS2","hsa05171"
"RPS10","hsa05171"
"TLR2","hsa05171"
"MASP2","hsa05171"
"RPL26","hsa05171"
"CXCL8","hsa05171"
"JAK1","hsa05171"
"RPS18","hsa05171"
"RPL38","hsa05171"
"PIK3R3","hsa05171"
"MAPK3","hsa05171"
"RPL27A","hsa05171"
"MX2","hsa05171"
"C3AR1","hsa05171"
"RPS10-NUDT3","hsa05171"
"RPL35A","hsa05171"
"MAPK8","hsa05171"
"TBK1","hsa05171"
"RPL32","hsa05171"
"RPL26L1","hsa05171"
"RPL4","hsa05171"
"ISG15","hsa05171"
"TAB2","hsa05171"
"RPS29","hsa05171"
"RPLP0","hsa05171"
"TRAF3","hsa05171"
"RPS20","hsa05171"
"SELP","hsa05171"
"RPL37","hsa05171"
"NLRP3","hsa05171"
"RPL28","hsa05171"
"C4A","hsa05171"
"FAU","hsa05171"
"F2","hsa05171"
"RSL24D1","hsa05171"
"RPL5","hsa05171"
"RPL23","hsa05171"
"RPL24","hsa05171"
"FGA","hsa05171"
"RPS6","hsa05171"
"RELA","hsa05171"
"RPL10A","hsa05171"
"PIK3R1","hsa05171"
"TRAF6","hsa05171"
"PIK3CB","hsa05171"
"RPS5","hsa05171"
"C3","hsa05171"
"RPL34","hsa05171"
"RPL3","hsa05171"
"RPL37A","hsa05171"
"CASP1","hsa05171"
"NFKBIA","hsa05171"
"RPS14","hsa05171"
"MBL2","hsa05171"
"RPS15A","hsa05171"
"RPL9","hsa05171"
"IKBKB","hsa05171"
"RPL14","hsa05171"
"RPS21","hsa05171"
"STAT1","hsa05171"
"RPL8","hsa05171"
"PIK3CD","hsa04932"
"UQCRC2","hsa04932"
"COX7B","hsa04932"
"MAPK14","hsa04932"
"TNFRSF1A","hsa04932"
"NDUFA11","hsa04932"
