"SYMBOL","PathwayID"
"YWHAE","hsa04110"
"PRKDC","hsa04110"
"YWHAH","hsa04110"
"SMC3","hsa04110"
"AURKB","hsa04110"
"CDKN1B","hsa04110"
"HDAC8","hsa04110"
"ANAPC16","hsa04110"
"ABL1","hsa04110"
"ORC4","hsa04110"
"CCNA1","hsa04110"
"CCND1","hsa04110"
"CDT1","hsa04110"
"SKP2","hsa04110"
"YWHAZ","hsa04110"
"PPP2R5E","hsa04110"
"CDC16","hsa04110"
"PPP2R1A","hsa04110"
"CDC25C","hsa04110"
"FBXO5","hsa04110"
"CDCA5","hsa04110"
"PPP2R1B","hsa04110"
"RBL2","hsa04110"
"CDKN1A","hsa04110"
"CDK2","hsa04110"
"BUB3","hsa04110"
"ATR","hsa04110"
"CCNH","hsa04110"
"ANAPC2","hsa04110"
"CDK4","hsa04110"
"CDC6","hsa04110"
"CDK7","hsa04110"
"CDC27","hsa04110"
"CCND3","hsa04110"
"ANAPC5","hsa04110"
"MCM6","hsa04110"
"CCNE2","hsa04110"
"ZBTB17","hsa04110"
"PCNA","hsa04110"
"CDK1","hsa04110"
"SMC1A","hsa04110"
"ANAPC15","hsa04110"
"EP300","hsa04110"
"E2F2","hsa04110"
"GADD45A","hsa04110"
"CDC25B","hsa04110"
"PPP2R5B","hsa04110"
"MCM4","hsa04110"
"HDAC1","hsa04110"
"ANAPC1","hsa04110"
"YWHAQ","hsa04110"
"ANAPC11","hsa04110"
"YWHAG","hsa04110"
"MCM7","hsa04110"
"ESPL1","hsa04110"
"E2F3","hsa04110"
"RBX1","hsa04110"
"TFDP1","hsa04110"
"YWHAB","hsa04110"
"PPP2R5C","hsa04110"
"RAD21","hsa04110"
"STAG1","hsa04110"
"PTTG1","hsa04110"
"SFN","hsa04110"
"ANAPC10","hsa04110"
"CDC45","hsa04110"
"E2F1","hsa04110"
"MYC","hsa04110"
"ANAPC4","hsa04110"
"CDC20","hsa04110"
"ESCO1","hsa04110"
"PLK1","hsa04110"
"STAG2","hsa04110"
"ESCO2","hsa04110"
"SMAD2","hsa04110"
"ATRX","hsa04110"
"SMAD3","hsa04110"
"RB1","hsa04110"
"CCNB1","hsa04110"
"PPP2CA","hsa04110"
"BUB1B","hsa04110"
"PPP2R5A","hsa04110"
"GSK3B","hsa04110"
"CDK6","hsa04110"
"ANAPC13","hsa04110"
"E2F5","hsa04110"
"TP53","hsa04110"
"MDM2","hsa04110"
"CDKN2A","hsa04110"
"PDS5A","hsa04110"
"MCM2","hsa04110"
"SMAD4","hsa04110"
"CREBBP","hsa04110"
"PDS5B","hsa04110"
"PPP2CB","hsa04110"
"ATM","hsa04110"
"SKP1","hsa04110"
"CDC23","hsa04110"
"TGFB2","hsa04110"
"RBL1","hsa04110"
